,0,1,2,3,4
0,CoD Hex,CoD Binary,CoD Bits,Bluetooth Device Example,Confirmed
1,0x000104,000000000000000100000100,"none | 8 | 2Major Service Class None Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2: Desktop Workstation",Desktop WorkstationDesktop PC Unknown W7AMD – AMD Process w/Windows 7,"Yes00:25:56 – Hon Hai Precision Ind. Co., Ltd. 00:1A:70 – Cisco-Linksys, LLC 9C:B7:0D – Liteon Technology Corporation"
2,0x000116,000000000000000100010110,"none | 8 | 4,2 | 1Major Service Class Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,4: Palm sized PC/PDA Format Type CoD Bits 1",Palm sized PC/PDAGumstix Overo Air single-board,Yes00:80:37 – Ericsson Group
3,0x00010c,000000000000000100001100,"8 | 3 | 2Major Service Class Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopLaptop Acer Aspire 7745 Lenovo Thinkpad L430,"Yes00:03:7A – Taiyo Yuden Co., Ltd 5C:AC:4C – Hon Hai Precision Ind. Co.,Ltd. 7C:E9:D3 – Hon Hai Precision Ind. Co.,Ltd."
4,0x020104,000000100000000100000100,"17 | 8 | 2Major Service Class CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2: Desktop Workstation",Desktop WorkstationDesktop PC Unknown,Yes00:21:86 – USI 00:0D:F0 – QCOM TECHNOLOGY INC.
5,0x02010c,000000100000000100001100,"17 | 8 | 3,2Major Service Class CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bit 2,3: Laptop",LaptopLaptop Samsung RC Series 9 (RCSERIES9) AmbuPro EMS ePCR Software (EMSEPCR40) HP TouchSmart (HPTS-PC),"YesE0:AE:5E – Cambridge Silicon Radio (10) C4:85:08 – Intel Corporation E0:AE:5E – ALPS Electric Co,. Ltd. DC:85:DE – Azurewave Technologies., inc."
6,0x020110,000000100000000100010000,"17 | 8 | 4Major Service Class CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 4: Handheld PC/PDA (clam shell)",Handheld PC/PDAMicrosoft PDA Computer,Yes60:45:BD – Microsoft
7,0x022100,000000100010000100000000,"17,13 | 8 | noneMajor Service Class CoD Bit 17: Networking (LAN, Ad hoc, …) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits None: Uncategorized, code for device not assigned",UncategorizedUnknown,Yes00:80:98 – TDK CORPORATION
8,0x060104,000001100000000100000100,"18,17 | 8 | 2Major Service Class CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2: Desktop Workstation",Desktop WorkstationiBuyPower Windows 7 Desktop Unknown Desktop PC,Yes00:02:72 – CC&C Technologies D0:DF:9A – Liteon Technology Corporation
9,0x06010c,000001100000000100001100,"18,17 | 8 | 3,2Major Service Class CoD Bit 18: Rendering (Printing, Speaker, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopUnknown Desktop,"Yes5C:AC:4C – Hon Hai Precision Ind. Co.,Ltd."
10,0x0a0110,000010100000000100010000,"19,17 | 8 | 4Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 4: Handheld PC/PDA (clam shell)",Handheld PC/PDABlackberry PlayBook Unknown,Yes14:74:11 – Rim A0:6C:EC – Rim
11,0x0c010c,000011000000000100001100,"19,18 | 8 | 3,2Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopLaptop Nokia 2600c-2b,"Yes00:03:7A – Taiyo Yuden Co., Ltd"
12,0x0c010f,000011000000000100001111,"19,18 | 8 | 3,2 | 1,0Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop Format Type CoD Bits 1,0",LaptopLaptop,"Yes00:22:58 – Taiyo Yuden Co., Ltd."
13,0x10010c,000100000000000100001100,"20 | 8 | 3,2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopLaptop,"Yes00:22:58 – Taiyo Yuden Co., Ltd."
14,0x100114,000100000000000100010100,"20 | 8 | 4,2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,4: Palm sized PC/PDA",Palm sized PC/PDAPalm Device,Yes00:07:E0 – Palm Inc.
15,0x102104,000100000010000100000100,"20,13 | 8 | 2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2: Desktop Workstation",Desktop WorkstationiMac,"Yes00:0A:95 – Apple Computer, Inc."
16,0x10210c,000100000010000100001100,"19,13 | 8 | 3,2Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopUnknown Apple Computer,Yes00:17:F2 – Apple Computer
17,0x120104,000100100000000100000100,"20 | 8 | 2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2: Desktop Workstation",Desktop WorkstationUnknown,Yes00:15:83 – IVT corporation
18,0x120114,000100100000000100010100,"20,17 | 8 | 4,2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,4: Palm sized PC/PDA",Palm sized PC/PDAUnknown PDA or Tablet,Yes00:16:D3 – Wistron Corporation
19,0x12010c,000100100000000100001100,"20,17 | 8 | 3,2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopUSB Bluetooth Module,"Yes90:4C:E5 – Hon Hai Precision Ind. Co.,Ltd."
20,0x18010c,000110000000000100001100,"20,19 | 8 | 3,2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopLaptop Unknown Laptop Panasonic Havis DS-PAN-302(PAN302),"Yes00:03:7A – Taiyo Yuden Co., Ltd 00:06:F5 – ALPS Co,. Ltd. 04:98:F3 – ALPS Electric Co,. Ltd."
21,0x1a010c,000110100000000100001100,"20,19,17 | 8 | 3,2Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 2,3: Laptop",LaptopLaptop Motorola Xoom,"Yes00:22:58 – Taiyo Yuden Co., Ltd. 98:4B:4A – Motorola Mobility Inc."
22,0x1a0110,000110100000000100010000,"20,19,17 | 8 | 4Major Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 8: Computer (desktop,notebook, PDA, organizers, …. ) Minor Device Class CoD Bits 4: Handheld PC/PDA (clam shell)",Handheld PC/PDAGoogle Nexus 7 32GB,Yes30:85:A9 – Asustek Computer Inc
