16-bit UUID for Members	0xFEFF	GN Netcom
16-bit UUID for Members	0xFEFE	GN ReSound A/S
16-bit UUID for Members	0xFEFD	Gimbal, Inc.
16-bit UUID for Members	0xFEFC	Gimbal, Inc.
16-bit UUID for Members	0xFEFB	Telit Wireless Solutions (Formerly Stollmann E+V GmbH)
16-bit UUID for Members	0xFEFA	PayPal, Inc.
16-bit UUID for Members	0xFEF9	PayPal, Inc.
16-bit UUID for Members	0xFEF8	Aplix Corporation
16-bit UUID for Members	0xFEF7	Aplix Corporation
16-bit UUID for Members	0xFEF6	Wicentric, Inc.
16-bit UUID for Members	0xFEF5	Dialog Semiconductor GmbH
16-bit UUID for Members	0xFEF4	Google
16-bit UUID for Members	0xFEF3	Google
16-bit UUID for Members	0xFEF2	CSR
16-bit UUID for Members	0xFEF1	CSR
16-bit UUID for Members	0xFEF0	Intel
16-bit UUID for Members	0xFEEF	Polar Electro Oy 
16-bit UUID for Members	0xFEEE	Polar Electro Oy 
16-bit UUID for Members	0xFEED	Tile, Inc.
16-bit UUID for Members	0xFEEC	Tile, Inc.
16-bit UUID for Members	0xFEEB	Swirl Networks, Inc.
16-bit UUID for Members	0xFEEA	Swirl Networks, Inc.
16-bit UUID for Members	0xFEE9	Quintic Corp.
16-bit UUID for Members	0xFEE8	Quintic Corp.
16-bit UUID for Members	0xFEE7	Tencent Holdings Limited.
16-bit UUID for Members	0xFEE6	Silvair, Inc.
16-bit UUID for Members	0xFEE5	Nordic Semiconductor ASA
16-bit UUID for Members	0xFEE4	Nordic Semiconductor ASA
16-bit UUID for Members	0xFEE3	Anki, Inc.
16-bit UUID for Members	0xFEE2	Anki, Inc.
16-bit UUID for Members	0xFEE1	Anhui Huami Information Technology Co., Ltd. 
16-bit UUID for Members	0xFEE0	Anhui Huami Information Technology Co., Ltd. 
16-bit UUID for Members	0xFEDF	Design SHIFT
16-bit UUID for Members	0xFEDE	Coin, Inc.
16-bit UUID for Members	0xFEDD	Jawbone
16-bit UUID for Members	0xFEDC	Jawbone
16-bit UUID for Members	0xFEDB	Perka, Inc.
16-bit UUID for Members	0xFEDA	ISSC Technologies Corp. 
16-bit UUID for Members	0xFED9	Pebble Technology Corporation
16-bit UUID for Members	0xFED8	Google
16-bit UUID for Members	0xFED7	Broadcom
16-bit UUID for Members	0xFED6	Broadcom
16-bit UUID for Members	0xFED5	Plantronics Inc.
16-bit UUID for Members	0xFED4	Apple, Inc.
16-bit UUID for Members	0xFED3	Apple, Inc.
16-bit UUID for Members	0xFED2	Apple, Inc.
16-bit UUID for Members	0xFED1	Apple, Inc.
16-bit UUID for Members	0xFED0	Apple, Inc.
16-bit UUID for Members	0xFECF	Apple, Inc.
16-bit UUID for Members	0xFECE	Apple, Inc.
16-bit UUID for Members	0xFECD	Apple, Inc.
16-bit UUID for Members	0xFECC	Apple, Inc.
16-bit UUID for Members	0xFECB	Apple, Inc.
16-bit UUID for Members	0xFECA	Apple, Inc.
16-bit UUID for Members	0xFEC9	Apple, Inc.
16-bit UUID for Members	0xFEC8	Apple, Inc.
16-bit UUID for Members	0xFEC7	Apple, Inc.
16-bit UUID for Members	0xFEC6	Kocomojo, LLC
16-bit UUID for Members	0xFEC5	Realtek Semiconductor Corp.
